Date,Product,Cost_Price,Competitor_Price,Stock,Discount,Units_Sold,Selling_Price
2025-05-15,Keyboard,5333,6214,25,12,491,5949
2025-05-16,Phone,21401,22647,171,2,76,25776
2025-05-17,Monitor,23132,24303,82,7,395,27937
2025-05-18,Monitor,17170,18795,38,3,297,18583
2025-05-19,Keyboard,34972,35150,89,20,464,37048
2025-05-20,Phone,39233,38984,94,7,270,40929
2025-05-21,Monitor,28843,29121,149,10,265,32604
2025-05-22,Keyboard,33001,33496,163,10,357,37603
2025-05-23,Monitor,19859,22454,177,19,181,23811
2025-05-24,Laptop,16451,15689,181,10,486,17260
2025-05-25,Phone,4793,4329,61,19,447,8905
2025-05-26,Keyboard,5209,6857,45,8,449,9891
2025-05-27,Phone,21630,22587,23,19,106,22738
2025-05-28,Laptop,8786,8984,71,4,89,13778
2025-05-29,Laptop,11373,14126,141,7,287,14957
2025-05-30,Tablet,37212,38425,68,7,391,39414
2025-05-31,Phone,7992,9839,140,6,369,10011
2025-06-01,Keyboard,25495,27169,127,14,62,26395
2025-06-02,Keyboard,12253,12254,100,1,379,14831
2025-06-03,Laptop,39909,42733,37,7,478,41929
2025-06-04,Keyboard,41027,40093,200,10,331,43593
2025-06-05,Tablet,47022,48432,38,16,86,49277
2025-06-06,Monitor,36491,36613,165,15,262,39700
2025-06-07,Keyboard,17737,20496,169,1,469,18832
2025-06-08,Phone,16535,16070,152,8,213,18345
2025-06-09,Monitor,38364,37494,170,10,324,40590
2025-06-10,Keyboard,47525,49900,58,3,424,48654
2025-06-11,Laptop,6677,5775,137,19,317,7915
2025-06-12,Keyboard,37767,39921,198,7,222,38338
2025-06-13,Phone,42491,41829,117,13,124,46083
2025-06-14,Laptop,1092,2037,160,2,470,5782
2025-06-15,Laptop,12775,13009,73,17,96,13549
2025-06-16,Phone,33782,34398,137,16,91,37689
2025-06-17,Monitor,27092,27635,155,9,200,30191
2025-06-18,Tablet,27693,30375,154,13,163,30309
2025-06-19,Phone,12900,15505,61,14,162,14951
2025-06-20,Phone,16293,16327,166,17,475,18955
2025-06-21,Laptop,1062,3729,21,17,334,3479
2025-06-22,Keyboard,49266,48370,146,3,177,53099
2025-06-23,Phone,20020,20742,82,6,181,21657
2025-06-24,Laptop,33122,34974,156,7,85,35651
2025-06-25,Monitor,5161,5724,71,10,340,9704
2025-06-26,Monitor,29226,30553,61,10,143,29934
2025-06-27,Laptop,24897,25209,122,15,426,26744
2025-06-28,Tablet,22698,22429,121,13,433,25459
2025-06-29,Phone,40681,42491,139,2,454,42162
2025-06-30,Laptop,16249,18527,174,14,404,17845
2025-07-01,Monitor,3722,2979,28,17,363,7844
2025-07-02,Phone,13549,13352,113,17,368,15466
2025-07-03,Phone,45951,46495,84,1,393,48982
2025-07-04,Keyboard,19567,21567,88,2,126,22902
2025-07-05,Monitor,31094,33780,182,5,236,34944
2025-07-06,Laptop,23744,25705,22,17,196,27708
2025-07-07,Phone,23059,23105,73,6,368,25909
2025-07-08,Phone,44384,46944,168,6,369,49244
2025-07-09,Keyboard,11522,13158,44,8,359,12663
2025-07-10,Tablet,6541,6697,116,17,70,9698
2025-07-11,Monitor,24892,26655,138,6,408,29352
2025-07-12,Monitor,31101,33219,126,13,173,33408
2025-07-13,Tablet,32777,32519,198,12,74,33341
2025-07-14,Keyboard,8869,11003,197,17,125,10441
2025-07-15,Keyboard,45917,46004,85,6,262,48847
2025-07-16,Keyboard,26296,25563,197,8,90,28294
2025-07-17,Keyboard,7254,6272,170,6,75,12023
2025-07-18,Keyboard,41354,40830,79,12,249,43457
2025-07-19,Monitor,32938,33929,37,10,116,35970
2025-07-20,Phone,24961,26899,138,17,219,29386
2025-07-21,Phone,16261,18177,137,1,495,17040
2025-07-22,Phone,32187,32548,92,3,351,35023
2025-07-23,Laptop,25134,27895,75,18,198,26657
2025-07-24,Monitor,12044,13115,74,14,428,13339
2025-07-25,Tablet,8373,11070,120,3,343,11795
2025-07-26,Keyboard,6759,6784,107,1,222,8073
2025-07-27,Phone,48368,50246,188,4,150,52496
2025-07-28,Tablet,4533,7233,23,14,107,8221
2025-07-29,Monitor,23107,22844,71,13,275,27762
2025-07-30,Monitor,12687,13544,68,19,182,17435
2025-07-31,Monitor,17538,18650,110,10,233,22415
2025-08-01,Monitor,39965,39438,64,1,464,40784
2025-08-02,Tablet,15373,15814,188,8,293,16666
2025-08-03,Monitor,25625,28598,92,12,301,26442
2025-08-04,Phone,45159,45987,135,8,123,45942
2025-08-05,Tablet,35805,36154,191,5,62,40495
2025-08-06,Phone,11429,11049,169,20,383,14893
2025-08-07,Keyboard,28868,29909,76,15,290,32478
2025-08-08,Phone,28069,28774,96,9,498,32145
2025-08-09,Laptop,27931,30283,113,2,383,29253
2025-08-10,Keyboard,26673,27168,25,9,50,28907
2025-08-11,Keyboard,18992,19692,141,9,69,22799
2025-08-12,Phone,36304,37056,198,6,347,40080
2025-08-13,Tablet,4971,6869,200,15,220,9780
2025-08-14,Monitor,11871,12722,81,8,389,14558
2025-08-15,Laptop,40993,42511,121,16,261,44235
2025-08-16,Monitor,19028,18343,186,8,244,23677
2025-08-17,Tablet,44444,46207,134,0,483,47760
2025-08-18,Laptop,11734,12277,160,20,70,13549
2025-08-19,Laptop,37948,39461,185,15,187,39410
2025-08-20,Laptop,8249,8100,132,11,444,11569
2025-08-21,Laptop,35962,36274,85,3,445,40308
2025-08-22,Monitor,43251,45207,132,6,119,48235
2025-08-23,Keyboard,15333,17581,50,9,354,18232
2025-08-24,Keyboard,10467,13208,130,9,319,13174
2025-08-25,Laptop,32400,32930,58,11,117,35754
2025-08-26,Phone,46538,47884,23,7,320,51063
2025-08-27,Monitor,15186,16980,189,15,498,19953
2025-08-28,Tablet,6433,7679,121,4,128,10267
2025-08-29,Monitor,38318,39393,192,19,163,42771
2025-08-30,Keyboard,13499,15219,72,2,171,17611
2025-08-31,Tablet,14297,15670,66,11,119,18059
2025-09-01,Tablet,33673,35700,101,3,346,36303
2025-09-02,Tablet,27680,28907,159,11,362,32273
2025-09-03,Keyboard,34926,37069,87,1,365,37579
2025-09-04,Monitor,12753,13663,198,17,323,13785
2025-09-05,Keyboard,14694,14802,134,0,436,18713
2025-09-06,Laptop,13817,13233,103,14,114,14877
2025-09-07,Keyboard,10702,10672,176,4,498,15070
2025-09-08,Monitor,8601,11586,187,7,321,12744
2025-09-09,Keyboard,43262,42552,177,18,164,45177
2025-09-10,Keyboard,26397,27786,35,19,463,27333
2025-09-11,Monitor,49751,49476,192,14,396,53751
2025-09-12,Monitor,26772,27106,200,10,99,28633
2025-09-13,Phone,46674,45993,200,13,53,48628
2025-09-14,Laptop,40258,41782,123,13,376,42133
2025-09-15,Tablet,36355,38132,49,9,292,40381
2025-09-16,Keyboard,2279,3440,81,6,140,4030
2025-09-17,Phone,2518,3576,69,14,138,6406
2025-09-18,Phone,25588,28138,79,10,300,30526
2025-09-19,Tablet,40618,43577,77,15,500,43328
2025-09-20,Phone,5892,5285,24,0,373,8784
2025-09-21,Monitor,31459,31936,33,7,235,32952
2025-09-22,Keyboard,17621,19388,32,20,263,21257
2025-09-23,Laptop,6613,6833,136,19,290,8120
2025-09-24,Keyboard,7142,6537,192,16,338,10564
2025-09-25,Keyboard,5890,7028,199,19,252,7412
2025-09-26,Monitor,7332,9547,107,18,164,8312
2025-09-27,Tablet,31617,31260,85,9,291,33565
2025-09-28,Tablet,31941,32479,186,18,398,36180
2025-09-29,Phone,14744,15210,28,2,435,16035
2025-09-30,Tablet,41123,43467,164,20,227,45563
2025-10-01,Keyboard,6817,6779,101,15,227,11057
2025-10-02,Laptop,45119,47990,92,0,183,50070
2025-10-03,Keyboard,18774,20148,153,16,324,21152
2025-10-04,Phone,41298,41462,126,13,354,42666
2025-10-05,Tablet,5452,7884,113,11,366,9583
2025-10-06,Monitor,1038,566,37,12,218,5631
2025-10-07,Monitor,11017,13407,153,4,257,11900
2025-10-08,Tablet,30973,32963,135,11,473,31819
2025-10-09,Monitor,37664,39717,25,7,413,38314
2025-10-10,Phone,31257,33691,23,13,81,32625
2025-10-11,Phone,26338,28296,28,3,215,30909
2025-10-12,Keyboard,38506,41031,80,11,483,41510
2025-10-13,Monitor,23491,23761,180,4,442,27375
2025-10-14,Phone,11860,12369,37,12,238,14971
2025-10-15,Phone,19461,20822,57,15,188,23088
2025-10-16,Keyboard,35065,37568,141,3,274,38289
2025-10-17,Monitor,35887,36440,85,8,132,39076
2025-10-18,Laptop,47016,47753,131,10,196,49381
2025-10-19,Tablet,49462,52392,41,9,246,50109
2025-10-20,Laptop,29824,28831,153,5,495,31392
2025-10-21,Keyboard,47264,46464,130,19,97,50746
2025-10-22,Monitor,31531,30562,113,4,481,33926
2025-10-23,Keyboard,3231,5353,20,9,308,7323
2025-10-24,Phone,6484,6990,55,7,66,10459
2025-10-25,Phone,25825,25748,47,5,165,28643
2025-10-26,Keyboard,19357,22060,197,9,262,23629
2025-10-27,Tablet,10889,13343,22,4,118,15803
2025-10-28,Phone,6318,6886,142,12,292,10542
2025-10-29,Tablet,30942,33348,52,6,146,33625
2025-10-30,Laptop,4375,5430,133,9,140,5653
2025-10-31,Keyboard,41058,42217,122,18,142,42371
2025-11-01,Laptop,49538,50048,128,1,404,51244
2025-11-02,Phone,46105,48079,167,10,352,46950
2025-11-03,Laptop,16825,18580,83,17,101,19804
2025-11-04,Keyboard,49789,49237,46,3,352,53385
2025-11-05,Phone,1126,750,197,8,159,2835
2025-11-06,Keyboard,16341,18577,33,12,266,19132
2025-11-07,Monitor,33404,34829,35,15,73,37425
2025-11-08,Laptop,47535,48634,171,4,306,51362
2025-11-09,Keyboard,19560,20210,66,4,355,20393
2025-11-10,Keyboard,31284,31093,175,3,351,34206
2025-11-11,Laptop,9143,8760,41,0,311,13189
2025-11-12,Monitor,13832,14455,127,3,376,17017
2025-11-13,Keyboard,41365,40365,98,1,85,44097
2025-11-14,Keyboard,28814,29282,102,6,76,30831
2025-11-15,Phone,46447,45893,177,5,105,48499
2025-11-16,Laptop,30442,30202,51,10,496,31990
2025-11-17,Laptop,23640,26250,181,20,51,25476
2025-11-18,Keyboard,27214,27627,85,20,69,28754
2025-11-19,Keyboard,30028,32846,101,5,264,30694
2025-11-20,Tablet,14440,16148,187,18,77,18616
2025-11-21,Tablet,23718,24721,193,1,136,26446
2025-11-22,Monitor,44812,44583,78,2,385,49172
2025-11-23,Keyboard,35955,37737,145,14,259,40073
2025-11-24,Tablet,46472,47812,66,20,251,50420
2025-11-25,Laptop,37609,38020,90,9,120,38987
2025-11-26,Phone,17136,18057,143,10,163,20863
2025-11-27,Tablet,21710,21372,168,17,162,24472
2025-11-28,Phone,9842,11156,158,10,141,14724
2025-11-29,Phone,5498,5796,189,14,283,7543
2025-11-30,Monitor,12240,11300,143,1,199,17025
2025-12-01,Phone,39420,42015,51,2,118,41359
2025-12-02,Tablet,48538,51319,58,6,207,52033
2025-12-03,Tablet,49769,52079,89,2,335,53236
2025-12-04,Phone,20943,21533,134,1,295,21904
2025-12-05,Keyboard,47341,49347,50,11,333,50351
2025-12-06,Laptop,8314,9589,143,10,473,8946
2025-12-07,Laptop,42127,42008,199,5,460,46836
2025-12-08,Keyboard,21113,20738,195,9,134,23967
2025-12-09,Monitor,13781,15517,164,13,458,17725
2025-12-10,Monitor,9967,12283,162,3,51,14223
2025-12-11,Phone,37870,37227,102,20,60,39134
2025-12-12,Phone,22748,25516,93,14,80,26379
2025-12-13,Phone,7095,9909,154,14,240,8226
2025-12-14,Phone,29511,31953,154,0,455,30264
2025-12-15,Phone,14526,16398,121,6,415,18777
2025-12-16,Monitor,29538,32304,73,12,223,33615
2025-12-17,Monitor,44318,43820,149,17,298,45076
2025-12-18,Keyboard,15580,16641,100,3,70,17937
2025-12-19,Monitor,3109,4586,80,9,62,6509
2025-12-20,Laptop,29916,29689,192,14,231,34129
2025-12-21,Phone,39255,39556,28,12,83,40176
2025-12-22,Phone,12164,12071,115,11,280,12953
2025-12-23,Monitor,37491,37182,102,3,183,41494
2025-12-24,Laptop,29728,29360,50,7,387,31978
2025-12-25,Laptop,38814,41565,42,10,306,42530
2025-12-26,Phone,14344,16167,118,1,296,14949
2025-12-27,Phone,12490,14694,53,20,152,14681
2025-12-28,Tablet,27193,29136,139,6,208,32056
2025-12-29,Laptop,21320,22309,111,9,314,22364
2025-12-30,Keyboard,34587,33980,134,19,91,36960
2025-12-31,Monitor,41878,43116,115,10,100,43458
